 store_id | state 
----------+-------
        1 | WA
     1010 | WA
     1018 | WA
     1027 | WA
     1039 | WA
      105 | OR
     1067 | OR
      107 | CA
      108 | WA
     1083 | WA
     1084 | CA
     1089 | WA
      109 | CA
     1098 | WA
      110 | OR
     1102 | OR
      112 | OR
     1128 | WA
     1132 | WA
     1145 | OR
      115 | OR
     1156 | CA
     1162 | OR
       12 | WA
      121 | OR
     1210 | OR
     1235 | OR
     1240 | WA
     1247 | OR
     1252 | WA
      128 | WA
      132 | WA
      134 | OR
      136 | CA
     1365 | WA
     1433 | WA
      144 | WA
      145 | OR
      149 | WA
      154 | OR
     1542 | OR
     1547 | WA
     1582 | CA
      160 | OR
     1679 | CA
      176 | OR
      178 | WA
      180 | OR
     1829 | CA
      184 | CA
      185 | WA
      189 | WA
       19 | WA
      195 | CA
      197 | CA
     1994 | WA
        2 | WA
       20 | WA
      202 | CA
      203 | OR
     2054 | OR
      208 | WA
       21 | WA
      213 | OR
      215 | CA
     2186 | CA
      219 | WA
       22 | OR
      220 | OR
      224 | CA
      227 | OR
      229 | OR
      244 | WA
      246 | CA
      250 | OR
     2529 | OR
     2538 | CA
      256 | CA
       26 | CA
     2602 | OR
     2624 | CA
      265 | CA
     2661 | WA
     2676 | WA
     2686 | CA
     2694 | WA
     2697 | WA
     2698 | WA
       27 | OR
     2731 | OR
     2734 | CA
      274 | CA
     2743 | OR
     2747 | WA
     2748 | WA
      276 | CA
     2760 | WA
     2761 | WA
     2762 | OR
     2764 | WA
     2765 | CA
     2767 | CA
     2768 | OR
     2773 | OR
     2774 | WA
     2779 | OR
      278 | CA
     2783 | WA
     2786 | CA
     2790 | CA
     2799 | CA
     2804 | OR
     2805 | CA
     2807 | WA
     2815 | CA
     2816 | WA
     2817 | CA
     2818 | OR
     2825 | OR
     2836 | WA
     2839 | WA
     2840 | OR
     2841 | CA
     2844 | OR
     2848 | OR
     2849 | CA
     2852 | CA
     2857 | WA
     2858 | WA
      286 | OR
     2863 | OR
     2865 | WA
     2866 | CA
     2867 | OR
     2869 | CA
     2873 | OR
     2875 | OR
     2876 | WA
     2879 | WA
      288 | CA
     2880 | WA
     2881 | CA
     2882 | CA
     2883 | OR
     2885 | CA
     2886 | WA
     2887 | CA
     2888 | WA
      289 | CA
     2891 | OR
     2898 | WA
     2900 | CA
     2903 | CA
     2914 | CA
     2915 | WA
     2918 | OR
     2919 | OR
      292 | CA
     2920 | WA
     2924 | WA
      293 | WA
     2930 | OR
     2931 | CA
     2933 | CA
     2937 | OR
     2941 | CA
     2942 | OR
     2945 | CA
     2946 | WA
      295 | WA
     2950 | OR
     2954 | OR
     2955 | CA
     2957 | WA
     2959 | OR
      296 | WA
     2961 | CA
     2962 | CA
     2966 | CA
      297 | OR
     2971 | CA
     2972 | CA
     2974 | OR
     2975 | OR
     2979 | WA
      298 | WA
     2980 | OR
     2981 | CA
     2987 | OR
      299 | WA
     2991 | CA
     2996 | WA
     2998 | WA
      300 | CA
     3000 | OR
     3001 | CA
     3005 | OR
     3006 | OR
     3007 | OR
     3008 | CA
     3009 | OR
     3013 | WA
     3015 | WA
     3024 | OR
     3027 | OR
     3035 | WA
     3036 | CA
      304 | WA
     3042 | CA
     3043 | WA
     3047 | OR
      306 | CA
     3060 | CA
     3062 | CA
    30632 | WA
     3064 | OR
     3065 | WA
     3068 | OR
    30685 | OR
    30719 | OR
     3072 | OR
     3073 | WA
    30733 | CA
     3076 | WA
     3082 | WA
     3083 | OR
     3087 | WA
      309 | CA
     3090 | OR
     3091 | CA
     3092 | WA
     3098 | OR
      310 | OR
     3101 | OR
     3102 | OR
      311 | CA
     3111 | WA
     3112 | OR
     3113 | OR
     3124 | OR
     3126 | WA
     3128 | CA
      313 | CA
     3131 | OR
     3134 | OR
     3135 | WA
    31401 | OR
     3141 | WA
